Cloud Cover,Date time,Dew Point,Relative Humidity,Precipitation Cover,Temperature,Visibility,Conditions
30,01-01-2017,6.9,59.99,0,14.6,4,Partially cloudy
25,01-02-2017,6.9,61.28,50,14.2,4,Rain
90,01-03-2017,7,63.79,0,13.8,4,Overcast
100,01-04-2017,6.1,62.09,0,13.2,4,Overcast
100,01-05-2017,7.7,69.75,0,13.1,4,Overcast
100,01-06-2017,10.4,82.8,100,13.5,2,"Rain, Overcast"
100,01-07-2017,14.7,100,100,14.7,3,"Rain, Overcast"
,01-08-2017,,,,,,
30,01-09-2017,4.9,73.48,0,9.4,4,Partially cloudy
100,01-10-2017,9,84.62,0,11.8,3,Overcast
30,01-11-2017,5.7,68.89,0,10,4,Partially cloudy
0,01-12-2017,1.4,63.5,0,7.9,4,Clear
0,01/13/2017,4.4,56.26,0,12.9,4,Clear
65,01/14/2017,7.1,85.36,0,9.6,3,Partially cloudy
100,01/15/2017,4,62.48,0,10.9,4,Overcast
65,01/16/2017,6.8,80.38,50,10.4,3,"Rain, Partially cloudy"
75,01/17/2017,7.3,83.75,50,10.1,4,"Rain, Partially cloudy"
100,01/18/2017,3.9,66.59,0,9.9,4,Overcast
15,01/19/2017,4.9,66.7,0,10.9,4,Clear
0,01/20/2017,5.8,64.01,0,12.4,4,Clear
100,01/21/2017,4.6,60.94,0,11.9,4,Overcast
40,01/22/2017,5.9,61.06,0,13.2,4,Partially cloudy
50,01/23/2017,4.5,59.7,0,12.1,4,Partially cloudy
100,01/24/2017,6.4,66.84,0,12.4,4,Overcast
100,01/25/2017,11.1,100,50,11.1,3,"Rain, Overcast"
100,01/26/2017,10.5,100,100,10.5,3,"Rain, Overcast"
30,01/27/2017,4.9,65.16,0,11.2,4,Partially cloudy
15,01/28/2017,5.9,66.16,0,12.1,4,Clear
75,01/29/2017,5.5,65.98,0,11.7,4,Partially cloudy
65,01/30/2017,5.1,61.09,0,12.4,4,Partially cloudy
0,01/31/2017,5.9,59.28,0,13.7,4,Clear
0,02-01-2017,6.4,61.28,0,13.8,4,Clear
0,02-02-2017,5.6,59.98,0,13.2,4,Clear
90,02-03-2017,7.3,63.88,0,14,4,Overcast
100,02-04-2017,7.1,65.26,0,13.5,4,Overcast
100,02-05-2017,10.5,84.77,50,13.3,3,"Rain, Overcast"
30,02-06-2017,7.2,69.19,100,12.7,4,"Rain, Partially cloudy"
50,02-07-2017,6.5,61.04,0,13.9,4,Partially cloudy
100,02-08-2017,7,62.79,0,14,4,Overcast
30,02-09-2017,7.4,63.82,0,14.1,4,Partially cloudy
0,02-10-2017,7.2,63.58,0,14,4,Clear
0,02-11-2017,6.4,58.71,0,14.4,4,Clear
0,02-12-2017,7.3,63.24,0,14.2,4,Clear
0,02/13/2017,7.3,62.49,0,14.4,4,Clear
15,02/14/2017,7.8,63.51,0,14.6,4,Clear
40,02/15/2017,7.9,62.52,0,15,4,Partially cloudy
25,02/16/2017,9.4,61.72,0,16.8,4,Clear
75,02/17/2017,9.4,59.02,0,17.5,4,Partially cloudy
100,02/18/2017,10.7,65.91,0,17.1,4,Overcast
100,02/19/2017,10.5,60.87,0,18.2,4,Overcast
100,02/20/2017,9.6,68.2,100,15.5,4,"Rain, Overcast"
90,02/21/2017,12.6,84.91,100,15.4,4,"Rain, Overcast"
15,02/22/2017,9.9,66.96,50,16.2,4,Rain
15,02/23/2017,10.1,64.25,0,17,4,Clear
15,02/24/2017,8.9,64.92,0,15.5,4,Clear
0,02/25/2017,7.6,61.64,0,14.9,4,Clear
15,02/26/2017,9,60.62,0,16.6,4,Clear
0,02/27/2017,7.7,60.87,0,15.2,4,Clear
100,02/28/2017,8.7,61.45,0,16.2,4,Overcast
65,03-01-2017,9.1,63.21,0,16.1,4,Partially cloudy
,03-02-2017,,,,,,
30,03-03-2017,9.1,58.91,0,17.3,4,Partially cloudy
15,03-04-2017,9.3,61.84,0,16.6,4,Clear
0,03-05-2017,10.5,64.93,0,17.2,4,Clear
15,03-06-2017,9.9,60.28,0,17.7,4,Clear
100,03-07-2017,9.3,63.39,0,16.3,4,Overcast
100,03-08-2017,12.9,87.67,100,15,3,"Rain, Overcast"
100,03-09-2017,14,100,100,14,4,"Rain, Overcast"
65,03-10-2017,11,87.83,50,13.1,3,"Rain, Partially cloudy"
100,03-11-2017,11.2,100,50,11.2,4,"Rain, Overcast"
65,03-12-2017,5.6,68.5,0,11.3,3,Partially cloudy
30,03/13/2017,6.9,74.83,0,11.2,4,Partially cloudy
15,03/14/2017,7.8,66.31,0,14,4,Clear
50,03/15/2017,8.5,66.39,0,14.7,4,Partially cloudy
100,03/16/2017,11.1,84.51,50,13.9,4,"Rain, Overcast"
30,03/17/2017,6.4,60.56,0,13.9,4,Partially cloudy
40,03/18/2017,8.7,61.71,50,16,4,"Rain, Partially cloudy"
55,03/19/2017,9.4,59.97,0,17.3,4,Partially cloudy
15,03/20/2017,9.4,56.46,0,18.2,4,Clear
53.3,03/21/2017,9.2,59.85,0,17,4,Partially cloudy
100,03/22/2017,11.6,61.05,0,19.3,4,Overcast
90,03/23/2017,12.8,57.17,0,21.6,4,Overcast
30,03/24/2017,14.7,59.21,0,23.1,4,Partially cloudy
,03/25/2017,,,,,,
,03/26/2017,,,,,,
15,03/27/2017,13.7,51.25,0,24.5,4,Clear
30,03/28/2017,18.2,64.99,0,25.3,4,Partially cloudy
55,03/29/2017,17.3,60.34,0,25.5,4,Partially cloudy
30,03/30/2017,17.9,62.94,0,25.5,4,Partially cloudy
25,03/31/2017,18.1,62.34,0,25.9,4,Clear
30,04-01-2017,18.1,60.25,0,26.5,4,Partially cloudy
15,04-02-2017,18.4,64.06,0,25.7,4,Clear
15,04-03-2017,18.2,60.05,0,26.6,4,Clear
75,04-04-2017,17.7,67.07,0,24.1,4,Partially cloudy
75,04-05-2017,17.8,72.37,100,23,3,"Rain, Partially cloudy"
100,04-06-2017,22.6,100,100,22.6,3,"Rain, Overcast"
90,04-07-2017,17.5,70.37,50,23.3,3,"Rain, Overcast"
50,04-08-2017,15.4,70.79,0,20.9,4,Partially cloudy
30,04-09-2017,16.1,65.16,0,23,4,Partially cloudy
15,04-10-2017,15.7,67.07,0,22.1,4,Clear
15,04-11-2017,15.7,65.74,0,22.5,4,Clear
0,04-12-2017,14.9,68.55,0,20.9,4,Clear
15,04/13/2017,17.4,64.07,0,24.6,4,Clear
15,04/14/2017,19,63.12,0,26.7,4,Clear
0,04/15/2017,18,58.36,0,26.9,4,Clear
0,04/16/2017,19.7,60.34,0,28.1,4,Clear
0,04/17/2017,19.7,58.5,0,28.6,4,Clear
15,04/18/2017,20.1,59.98,0,28.7,4,Clear
25,04/19/2017,21.3,62.66,0,29.1,4,Clear
30,04/20/2017,20.9,56.89,0,30.4,4,Partially cloudy
65,04/21/2017,21.6,61.66,0,29.9,4,Partially cloudy
100,04/22/2017,19.7,61.76,100,27.7,4,"Rain, Overcast"
