Name,Latitude,Cloud Cover,Minimum Temperature,Date time,Precipitation,Dew Point,Relative Humidity,Precipitation Cover,Longitude,Temperature,Maximum Temperature,Visibility,Conditions
"Pathankot, Punjab, India",32.2705,30,13.2,01-01-2017,0,6.9,59.99,0,75.6491,14.6,16.1,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,25,13.1,01-02-2017,2,6.9,61.28,50,75.6491,14.2,15.4,4,Rain
"Pathankot, Punjab, India",32.2705,90,13.4,01-03-2017,0,7,63.79,0,75.6491,13.8,14.2,4,Overcast
"Pathankot, Punjab, India",32.2705,100,13.2,01-04-2017,0,6.1,62.09,0,75.6491,13.2,13.2,4,Overcast
"Pathankot, Punjab, India",32.2705,100,13.1,01-05-2017,0,7.7,69.75,0,75.6491,13.1,13.1,4,Overcast
"Pathankot, Punjab, India",32.2705,100,13.2,01-06-2017,16,10.4,82.8,100,75.6491,13.5,13.9,2,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,100,11.2,01-07-2017,48,14.7,100,100,75.6491,14.7,18.2,3,"Rain, Overcast"
"Pathankot, Punjab, India",32.2705,,,01-08-2017,0,,,,75.6491,,,,
"Pathankot, Punjab, India",32.2705,30,9.4,01-09-2017,0,4.9,73.48,0,75.6491,9.4,9.4,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,100,10.7,01-10-2017,0,9,84.62,0,75.6491,11.8,12.9,3,Overcast
"Pathankot, Punjab, India",32.2705,30,8.9,01-11-2017,0,5.7,68.89,0,75.6491,10,11.2,4,Partially cloudy
"Pathankot, Punjab, India",32.2705,0,7.9,01-12-2017,0,1.4,63.5,0,75.6491,7.9,7.9,4,Clear
"Pathankot, Punjab, India",32.2705,0,12.9,01/13/2017,0,4.4,56.26,0,75.6491,12.9,12.9,4,Clear
"Pathankot, Punjab, India",32.2705,65,8.2,01/14/2017,0,7.1,85.36,0,75.6491,9.6,11.1,3,Partially cloudy
"Pathankot, Punjab, India",32.2705,100,9.4,01/15/2017,0,4,62.48,0,75.6491,10.9,12.4,4,Overcast
"Pathankot, Punjab, India",32.2705,65,9.7,01/16/2017,22,6.8,80.38,50,75.6491,10.4,11.2,3,"Rain, Partially cloudy"
